text,label
"every once in a while , a movie will come along that turns me into that annoying specimen of humanity that i usually dread encountering the most - the fanboy",1
the disjointed mess flows as naturally as jolie's hideous yellow 'do .,1
everyone is wishing for a miracle to happen this summer .,0
"by the end of their phenomenal run , this unheralded group of musicians had played on more number ones hits than the beach boys , the rolling stones , elvis and the beatles combined - which makes them the greatest hit machine in the history of popular music .",0
"this romantic thriller is steeped in the atmosphere of wartime england , and ably captures the speech patterns , moral codes and ideals of the 1940s .",1
"a good film with a solid pedigree both in front of and , more specifically , behind the camera .",1
"kimberly corman , 19 , was just taking a trip with her friends . .",0
"never again doesn't quite rise above the conventions it attempts to deconstruct , but at its center are two gifted actors who are more than willing to take chances .",1
more of an intriguing curiosity than a gripping thriller .,1
"based on the 1997 john king novel of the same name with a rather odd synopsis : "" a first novel about a seasoned chelsea football club hooligan who represents a disaffected society operating by brutal rules .",0
"the film was shot on location at various firehouses in manhattan , queens and brooklyn .",0
"nete's father becomes bitter and introvert , but nete insists that he come to live with her and her family the few weeks he has left .",0
"[while the last metro] was more melodramatic , confined to a single theater company and its strategies and deceptions , while tavernier is more concerned with the entire period of history .",1
"using his family's old mob connections , tony has mapped out every detail for a very special evening .",0
"not only a reminder of how they used to make movies , but also how they sometimes still can be made .",1
"bears resemblance to , and shares the weaknesses of , too many recent action-fantasy extravaganzas in which special effects overpower cogent story-telling and visual clarity during the big action sequences .",1
"chomsky places the terrorist attacks in the context of american foreign intervention throughout the postwar decades--in vietnam , central america , the middle east , and elsewhere .",0
not a stereotype is omitted nor a cliché left unsaid .,1
"sex , lies &#38 ; superheroes features the writers and artists who have helped make comic books a medium for sophisticated stories and artwork .",0
"a warm but realistic meditation on friendship , family and affection .",1
"a lean , deftly shot , well-acted , weirdly retro thriller that recalls a raft of '60s and '70s european-set spy pictures .",1
very annie-mary is familiar but winningly funny and good-hearted .,1
the film _boogie nights_ was loosely based on his life .,0
"watching living actors interact against the lush , studied inertia of the backdrops gives us the impression of history come to life , or statues magically transformed into living creatures .",1
another more vicous gang known as the vipers is a possible threat to leon and bobby's efforts .,0
"like brosnan's performance , evelyn comes from the heart .",1
he has already written the script but does not have the means of financing his project .,0
"nelson's intentions are good , but the end result does no justice to the story itself . it's horribly depressing and not very well done .",1
"[t]his slop doesn't even have potential as a cult film , as it's too loud to shout insults at the screen .",1
the film's most improbable feat ? it didn't go straight to video .,1
"he has orchestrated a perverse sport where prisoners fight , sometime to the death for the entertainment and profit of he and his cronies .",0
"colson comes to live with them , an injection of danger in the form of a strange , silent houseguest with haunted eyes and odd habits .",0
"however , he can only inhabit the body of a child for a short time .",0
"they're also neighbours , living with widower fathers and problem siblings in the suburbs of taipei .",0
macbeth . mcdonald's . how far apart these poles of popular culture seemed until billy morrissette's sly mcshakespeare crime comedy .,1
but sy discovers that the yorkins are not as perfect as they seem and becomes a man on a mission to expose the imperfections of the yorkin family at any cost .,0
it is best appreciated as an immersion in a three-dimensional toyland outfitted with enough whimsical gadgetry to fill a thousand playrooms .,1
nair does capture the complexity of a big family and its trials and tribulations . . .,1
"despite the inexperience of the director and his cast , there's rarely a false moment .",1
notorious c . h . o . has oodles of vulgar highlights .,1
"jackass : the movie is a disgusting , repulsive , grotesque spectacle , but it's also hilarious and provocative . god help me , thumbs up .",1
"director yu seems far more interested in gross-out humor than in showing us well-thought stunts or a car chase that we haven't seen 10 , 000 times .",1
superbly photographed and staged by mendes with a series of riveting set pieces the likes of which mainstream audiences have rarely seen .,1
"a very long movie , dull in stretches , with entirely too much focus on meal preparation and igloo construction .",1
tiger shark prowls on what should be a routine rescue mission .,0
and does he feel the same way about daniel ?,0
"facing death of his friends , major korenev decides to re-install law and order using some unorthodox methods that are only relevant in 21st century russia .",0
god bless crudup and his aversion to taking the easy hollywood road and cashing in on his movie-star gorgeousness .,1
"if you love reading and/or poetry , then by all means check it out . you'll probably love it .",1
"a postal worker has some lunch in a chinese restaurant and falls in love with the waitress , who happens to be chinese .",0
"in jail she finally meets tabloid darling velma kelly , currently receiving huge media attention for the double murder she committed earlier in the tale .",0
the kind of sweet-and-sour insider movie that film buffs will eat up like so much gelati .,1
a selection of scenes in search of a movie .,1
